NOMBRE	TIPO	DIRECCION	CLAUSURADO	ACTA
		Riglos Nº 1081 PB/EP		4-333148
		Medrano 624, planta baja y sótano		4-360936;4-349538
		Bulnes N° 2596 PB. y sótano –unidad funcional N° 2.,		4-360144;4-360145
		Av. Lope de Vega N° 3311, PB, EP, UF 1.,		4-349266
		AV. Rivadavia Nº 5231/33, PB y 1º		4-349904
		Salta Nº 572 SS/PB/1º A 3º PISO/AZOTEA		4-361108;4-349298
		AV. Asamblea N° 935 PB. y sótano		4-361730;4-361729
		AV. Rivadavia Nº 5264/68 PB LOCAL 19		4-361731
		La Rioja N° 1826 PB/PA (fondo),.		4-360938;4-349540
		Beláustegui N° 1570/72, PB, 1° y 2° Piso		4-349411
		Av. Cabildo 2871/73, planta baja, 1° piso y sótano		4-361732
		Av. Scalabrini Ortiz N° 2445 PB.		4-361679; 4-361680
		Catamarca N° 325, PB/1° Piso		4-349300
		Virrey Liniers Nº 111 SS/PB/1º Y 2º PISO/AZOTEA		4-349299
		La Rioja 682, planta baja 1° a 5° piso.,		4-335173;4-335174;4-335175;4-323499;4-323500
		Juramento N° 2701 PB. –esquina Moldes		4-361733
		Mendoza N° 2350 PB, PA UF 4.,		4-349905
		Bahía Blanca Nº 1355 PB/1º PISO		
		 Cotagaita N° 1839 PB		
		Bolivia 77, planta baja, 1° a 6° piso		
		Gamboa 6151/53 PB. y EP		
		 Laferrere Nº 5831		
		Av. Cabildo 1434 PB.,		4-347068
		Amenabar N° 708 ST, PB UF 6,.		4-347067
		Membrillar 31,.		4-347684,4-360150
		Av. Juan Bautista Alberdi Nº 5189/91 PB, UF 1 y 2.,		4-348876
		Viamonte N° 605 esquina Florida N° 702, PB/Sótano		4-333197
		Av. Lastra N° 3585/99 PB/EP/EP.,		4-360533,4-360534,4-360535,4-360536
		Sarmiento 1775, 3° piso, entre piso sobre 3° piso, unidad funcional 14 y 15		4-361652,4-361651
		Amenábar Nº 1260 PB,.		4-361753
		José Barrios Pozos N° 3702		4-184446
		Mendoza N° 2894 PB y PA		4-349906
		AV. Callao N° 1289 PB. y SS		4-349414
		Av. Federico Lacroze N° 3723, 1° piso		4-347949,4-347948,4-289304
		AV. CNEL. Cárdenas N° 2496/98 esquina AV. de los Corrales N°6891/99 PB.,		4-334598,4-334597
		Av. FEDERICO LACROZE 4095, planta baja		4-361555
		AV. Elcano Nº 3084 PB/EP		4-333150,4-361251
		Darwin N° 1669		4-360380
		Juramento 1531 pb-ep		4-349624
		Murillo N° 1027,.		4-347248
		Av. Rivadavia N° 3292		4-361056
		24 de Noviembre N° 30		4-314145
		Av. Santa Fé N° 2516		4-361058
		Av. Francisco Beiró N° 3544 PB		4-3141147
		Cnel. Niceto Vega N° 5646		4-360379
		Av. Monroe N° 2574		4-334398
		peron 2930		
		Humberto 1° N° 1470, PB Y 1° piso		4-348854,4-348855
		AV. Díaz Vélez N° 4168		4-349267
		Ecuador Nº 551 1º PISO DPTO. “3”,.		4-348549,4-348548
		Fitz Roy Nº 1627 PB., PA. y EP.,		4-016160,4-016074
		Av. San Juan N° 2945		4-348852
		El Salvador N° 4947, PB y PA		4-335704,4-335705
		Av. Directorio N° 4732		4-349708
		Av. Rivadavia N° 7495 PB y EP		4-335553
		Constitución N° 1201, PB.,		4-349661
		Uspallata N° 2121 PB y EP		4-349803
		Esmeralda N° 368, PB, SS, 1° a 5° Piso		4-333089,4-333090,4-362176
		Marcelo T. de Alvear 980		4-347245
		Uspallata N° 2115		4-347246,4-347247
		Ana María Janer Nº 2653		4-321704
		Espinosa Nº 1154/58 PB/PA		4-347374,4-360211
		Av. Honorio Pueyrredón N° 691 PB,.		4-349268
		Honduras N° 5265 PB		4-016073,4-016072
		Rodríguez Peña N° 97		4-314144
		Candelaria N° 148/154		4-362101,4-349170
		Espinosa N° 1565 PB. y PA		4-333572,4-333573,4-333574,4-347165,4-347166
		Montevideo N° 238 PB.,		4-361057
		Lambaré N° 889/93, PB, 1°, 2°, 3° y 4° Piso.,		4-361734
		Gurruchaga N° 1324 PB		4-349739
		Vicente López N° 2205/09, PB, EP, 1° Piso y 2° entrepiso		4-334047,4-334048,4-334049
		Humberto 1° N° 1448, PB		4-348856
		Bulnes 2540 PB, SS.,		4-348974,4-348973
		AV. Pueyrredón Nº 241 PB LOCAL 15		4-361586
		Av. Eva Perón 5373		4-360941
		Lavalle N° 2454/70 PB		4-362103,4-362102,4-362104,4-349871
		CARLOS BERG 3068/70, planta baja y entre piso.		4-349232,4-362328
		Larrea 268, planta baja y planta alta		4-349870
		peron 2930		
		Av. Santa Fe Nº 3202 PB/EP/SOTANO		4-349709
		El Salvador Nº 5800 PB/EP.,		
		Ezeiza Nº 2340 y Zamudio Nº 5871/73 PB/EP		
		Lavalle N° 3800, PB (UF N° 10),.		4-362276
		Humberto 1º Nº 1457 PB/PA		4-349968
		Av. Pueyrredón Nº 589, PB., 1° al 8°,.		4-360470
		Condarco N° 3038/40 PB		4-360103
		Rodríguez Peña N° 1061/63, SS., PB.,1° a 9º piso y azotea		4-3492588
		Sarmiento Nº 3120 SS/PB/EP/1º Y 2º PISO		4-349192
		Av. Belgrano 2093, 3° piso, departamento 7 y EP		4-333083
		Lima 1169, planta baja, 1° y 2° piso y azotea		4-361010,4-361112
		Argerich N° 1250/54 PB, 1° y 2° piso		4-349307
		Gana N° 417, PB y 1° Piso		4-360782
		Tucumán N° 730, 1° Piso, Dto. “1”.,		4-334411
		Bartolomé Mitre Nº 1608 SS/PB/EP/1º Y 2º PISO/AZOTEA		4-360434,4-361286
		TTE. GRAL. Juan D. Perón N° 1307 PB., SS. y EP.,		4-349740,4-349741
		AV. Belgrano Nº 1719 3° piso DTO. “E”,.		4-361103,4-361105,4-361278,4-361104
		Bacacay N° 2931/33 PB/4° piso		4-349305
		Mario Bravo N° 374, PB.,		4-361481,4-361482
		Uruguay N° 272 PB, SS, 1°,2° y 3° Piso.,		4-348144
		AV. Pueyrredón Nº 241 1º Piso LOCAL 141		4-361378
		Av. Presidente Ramón S. Castillo N° 2800 (esq. Calle 14 - Frente al PUERTO--PB		4-348818,4-348819,4-348817
		Talcahuano Nº 1075 PB/EP/SOTANO UF 9		4-362329
		Pavón Nº 1299 PB/SOTANO		4-301773,4-301774,4-301775
		Av. Luis María Campos N° 901/87, y otras		4-347069
		Agüero N° 1215 1° piso		4-287091,4-335434
		Bacacay N° 1715 PB/PA		4-335735
		Dolores N° 173 PB, Departamento Frente		4-348145,4-348146
		COSQUIN 32, planta baja, unidad funcional 3,.		4-347914,4-347915
		Tte. Gral. Perón N° 2660 PB, EP, Sótano		4-349118;4-349119. Rectificar la Disposición N° 2081/DGFYC/2017 de fecha 06/07/2017.
		Av. Rivadavia 631/45, planta baja, 1° subsuelo, 2° subsuelo, 1° a 4° piso		4-361738,4-361740,4-361741,4-361737
		Av. Olleros N° 1690/1700 PB, U.F. N° 1, 2 y 3		4-349308
		Av. Figueroa Alcorta N° 7510, PB, 1° y 2° Piso		4-347296
		Maipú 556, planta baja, 1°, 2° y 3° piso y azotea		4-361008
		Adolfo Alsina 2595, planta baja, 1° piso, entre piso y azotea		4-361288
		Honduras N° 5594 PB, SS, 1° y 2°,.		4-349683
		Gascón N° 1146 PB.,		4-349269
		Av. Luis M. Campos N° 901/87 y Arce 940 PB local 505		4-349310
		Av. Córdoba 4341 PB, 1° y 2° piso		4-361754
		AV. Caseros N° 3931, PB. y PA.,		4-360956,4-360957
		Mariano Acosta Nº 2827 PB.,		4-348668,4-348669
		Av. Luis M. Campos N° 901		4-349309
		Arribeños N° 2234 PB, EP,.		4-362084,4-361488
		Juramento Nº 2375 PB/PA		4-361756
		Céspedes N° 2294, esq. Vuelta de Obligado N° 1183, PB, 1° piso y AZ		4-347070
		AV. Santa Fe N° 2020 PB., EP. y sótano		4-016101,4-016102
		Av. Rivadavia N° 2283 PB		4-322188
		AV. Rivadavia Nº 2402 PB/SS UF 3,.		4-349311
		Av. Rivadavia N° 8272, PB		4-348147,4-348148,4-348462
		Salta N° 1219 PB/SS		4-335706
		Paso 562 PB. y PA.,		4-323537
		Pasteur Nº 38 PB/1º a 3º PISO		4-288923
		Av. Vernet N° 101 PB, EP, SS		
		Zapiola N° 1353, PB		4-361176
		Reconquista N° 1014, PB		4-265199
		Doblas N° 381		4-349635
		Anasagasti N° 2067, PB, 1°, 2° y 3° piso		4-349746
		Nicaragua N° 4940, PB		4-360702
		Cnel. Niceto Vega N° 5191 PB, PA, EP y 2° EP		4-348869
		Fitz Roy N° 1410 PB		4-177675
		Fitz Roy N° 1627, PB. y PA		4-361805
		Montevideo N° 306 PB		4-361829
		Godoy Cruz N° 1752 PB y EP		4-349684
		Cnel. Niceto Vega N° 4959 PB		4-348868
		Cnel. Niceto Vega N° 5499, PB		4-361803
		Av. Santa Fe N° 1726 PB, SS, 1° y 2° piso		4-349744,4-349745
		Av. Rivadavia N° 7463, PB		4-335992
		Bonpland N°1720 PB		4-349634
		Catamarca N° 38, 1° piso		4-349636
		Honduras N° 5604, PB		4-361801
		Honduras N° 5339 PB		4-334073
		Bolívar Nº 184, PB,.		4-349312
		Av. Alicia Moreau de Justo Nº 2150, PB y PA,.		4-348017
		AV. Eva Perón Nº 5948 PB/PA		4-016190,4-016189,4-016106,4-016188,4-0160758,4-016105,4-016104,4-016103
		México 1157, PB y ST.,		4-347071
		Adolfo Alsina N° 921, PB		4-349806
		Chile N° 1399, PB		4-362777
		AV. Corrientes Nº 3591/99 SOTANO/PB/EP/1º PISO		4-348865,4-348866
		Hipólito Yrigoyen N° 1162		4-361757
		Pichincha N° 282 PB, SS,.		4-334070,4-334069,4-334071
		Av. Colonia N° 151/55 PB		4-362828,4-362827
		Gorriti N° 3642 PB/ PA		4-322189
		AV. Pueyrredón Nº 241/43 PB LOCAL 10 ( según plano local 40).,		4-349222
		AV. Pedro Goyena N° 34 PB		4-347170,4-347171
		Sarandí 1134/40 PB, EP, 1°,.CABA.		4-349967
		Pasco N° 238 PB., entrepiso, 1° y 2° piso		4-361111
		Av. Figueroa Alcorta 7597		
		Libertad Nº 505/23, PB, EP, SOT, UF 1		4-349270
		AV. Rivadavia N° 1695 PB., 2°, 3° piso y EP,.		4-361657,4-361655,4-361658,4-361658,4-361656
		Río de Janeiro Nº 616/26, PB, UF 3,		4-347075
		Tomás Le Bretón Nº 4120, PB, EP y SS.,		4-360219,4-361952
		Dr. Tomas Manuel de Anchorena Nº 1117 PB/1º A 3º PISO/AZOTEA		4-334420
		San Pedro N° 4557/59 PB/EP		4-361341
		AV. Jujuy Nº 390 PB/EP		4-323816
		Cerrito N° 28, PB		4-321018
		Corvalan N° 1918/20/36/44, San Pedro 5268 y Araujo 1925/31 PB, EP,1-2 P		4-362751
		Av. Corrientes N° 668, PB		4-360044
		Av. Juan B. Justo N° 9200		
		Av. Lope de Vega N° 1444, PB		4-347477
		AV. Rivadavia Nº 4893 SOTANO/PB/PA		4-347074
		Concordia N° 105		4-360541,4-360540
		Olleros Nº 3750 PB/PA		
		AV. Rivadavia Nº 3950 PB		
		Guise Nº 1787 unidad funcional N° 9		
		Av. Cabildo Nº 2102 PB/EP		
		Lima N° 1553, Salta N° 1552 y AV. Juan de Garay N° 1171 PB., EP., 1° y		
		Teniente General Juan Domingo Perón 2143/49		
		AV. Juan B. Alberdi Nº 2416, PB		4-349271
		Av. Rivera Indarte Nº 3745, PB y EP		4-362754,4-362753,4-361977
		Ferré N° 2283		4-361978,4-362755
		Talcahuano N° 1180 PB, 1° a 4° piso		4-360237,4-360236
		Galicia Nº 3400		4-370026
		José Bonifacio N° 2372/76 PB, 1° piso.,		
		11 de Septiembre de 1888 Nº 2475 PB		
		Av. Rivadavia Nº 7001 y calle GRAL. José Gervasio Artigas N° 6 PB.EP-UF 4		4-361742
		Montevideo N° 421, PB y 1° Piso		
		GARCIA DEL RIO Nº 3003 PB.,		
		AV. Córdoba Nº 4042		4-334067
		Lafayette N° 1630 y Av. Vélez Sarsfield N° 1543/45/47 PB-EP		
		Sanabria N° 2039/47 PB, 1° y 2° piso		
		Teodoro García N° 1734 PB		
		Leopoldo Marechal Nº 1148 PB		4-347918,4-347919
		Ecuador N° 224/26/32 SS., PB., 1° a 9° piso y azotea		4-361293,4-361660
		Terrero Nº 1777 PB/1º A 5º PISO		4-349000
		PJE. VALLE (altura Argerich 59) Nº 3 PISO 3º Y 4º		4-361060
		Bartolomé Mitre N° 2192 PB		4-361744
		Virrey Liniers Nº 48, PB		4-322191
		AV. Cabildo Nº 612, PB y EP, UF 2.,		4-349910
		Av. San Martín N° 3108, PB, Sót. y EP,		4-347962,4-361077,4-361076
		Pedro Goyena Nº 201 PB		4-321346
		AV. Federico Lacroze Nº 2408, PB y PA, UF 3.,		4-349272
		Magariños Cervantes N° 2839 PB, PA y 2°,		4-347298
		Av. Luis María Campos N° 807, PB (UF 1).,		4-349908,4-349909
		Batalla del Parí N° 700 PB.,		4-349685,4-349686,4-349687
		Av. Rivadavia N° 5985, PB y 1° Piso (y Nicasio Oroño N° 45).,		4-361908,4-361909,4-361907,4-361906
		José A. Cabrera N° 3778/80 PB, EP, y ST,.		4-323790,4-323789
		Pavón N° 1217 PB		4-335037,4-335038
		Albariño Nº 2123 PB		4-349086
		Ciudad de la Paz N° 3799 PB. –unidad funcional N° 2		4-349273
		Rojas Nº 819/35 PB/EP/1º Y 2º PISO/AZOTEA		4-333095,4-349487,4-333094
		Av. Entre Ríos N° 354 PB		4-016192
		Av. Pueyrredón N° 844 ST, PB, UF N°2,.		4-349912
		Carlos Calvo Nº 3778 PA/EP UF 1,.		4-370126
		Av. Corrientes N° 2311, PB, 1° Piso (UF2),.		4-349911
		Homero 1533, planta baja y 1° piso		4-361153,4-361154
		Av. Juan B. Justo N° 2286 PB		4-370076,4-348149
		Combate de los Pozos Nº 685 PB UF 1,.		4-361747
		Hipólito Yrigoyen N° 1500/1492 y Luis Sáenz Peña N° 106 PB, Sot, UF-1		4-361745,4-361746
		Peña N° 2555 PB. y PA.,		4-361384,4-361385,4-361386
		Manuela Pedraza N° 2323/2333, PB y ES (UF2),.		4-349274
		Av. Amancio Alcorta 2570		4-321255,4-321257,4-322403
		Migueletes N° 827, PB, UF 1,.		4-361063
		Cnel. Niceto Vega N° 5642 PB y PA		4-360383
		Pedernera N° 143,.		4-335993
		Salta N° 1456, PB		4-349641
		Suipacha N° 472 PB. y EP		4-360344
		Av. Córdoba N° 5509, PB. y EP		4-360077
		Uruguay N° 1175/7, PB, 1° y 2° piso.,		4-315998
		Av. San Juan N° 2926, SS		4-361179
		Los Patos 2640 PB.,		4-349510,4-349511
		Av. Rivadavia N° 1102 PB.,		4-274734
		Av. Amancio Alcorta 2570		4-321255,4-321257,4-322403
		Av. Rivadavia N° 1285		4-349642
		Av. Santa Fé N° 3509, PB		4-370277
		Dr. Tomás Manuel de Anchorena N° 571,.		4-361830
		Honduras N° 5339 PB		4-335675,4-227629
		Roosevelt Franklin D. 2317.,		4-334075
		Ayacucho Nº 532/534, Piso: PB/EP,.		4-349915,4-349916
		AV. Díaz Vélez Nº 5494 y Franklin Nº 741 PB		4-349675
		Aranguren 2440 PB, PA		4-287092
		Av. Caseros 2620		4-287092
		El Salvador N° 5100 PB. y EP,.		4-348871,4-348872,4-348873,4-348874
		Fraga N° 673 PB		4-370201
		Boyacá N° 28 PA.,		4-360080
		Gorriti Nº 5176 PB/EP		4-361178
		Murguiondo N° 3604, PB		4-349590
		Av. Juan B. Justo N° 4933/35, PB.,		4-362556
		Cnel Niceto Vega N° 5646 PB,.		4-348875
		Agüero 438 PB,.		4-361762
		Esteban Bonorino N° 2847/53/55,.		4-362133,4-348673
		Av. La Plata 1122 PB		4-361748,4-361749
		Mendez de Andes N° 961 PB,.		4-362835,4-362312
		Pola Nº 2463 PB		4-360890
		CNEL. Ramón L. Falcón N° 1489/99 y Miró N° 88 PB., EP-ss		4-370082
		Carlos A. López Nº 2459 PB/EP		4-349989,4-349988,4-362358
		Francisco Bilbao 6014/16, planta baja y planta alta.,		4-362234,4-362233,4-362231,4-362232,4-362559
		Helguera 1157,.		4-349546,4-361346
		Lisandro de la Torre N° 813/15		4-362037,4-362038,4-362039,4-362040,4-362041
		Hipólito Yrigoyen N° 2452/60 PB, 1° y 2°,.		4-348417
		Riobamba Nº 257 PB/EP/1º Y 2º PISO.,		4-362178,4-361654,4-361653
		Av. San Juan 2999 PB, EP y SÓTANO		4-370176
		Scalabrini Ortiz 2798 PB UF 6 y 7,.		4-360962
		Camarones Nº 1647/49/55 SOTANO/PB/1º PISO.,		
		Av. San Juan N° 2009, PB y 1° Piso		4-321420
		Venancio Flores Nº 2917 PB		4-347923,4-347922
		Cochabamba Nº 3624/26 PB/PA		4-370103,4-362313
		México N° 1176 PB-EP,.		4-323293
		Jufré N° 433/35 SS., PB., 1°, 2°, 3° piso y azotea		4-361665,4-361664,4-361298
		Av. San Martin N° 1841 PB		4-335053,4-157747
		Av. Vélez Sarsfield N° 582 PB,.		4-347462
		Av. Belgrano 1719, 4° piso		4-362032
		Charcas 3034, planta baja, 1° y 2°,.		4-361029
		Darwin 768 PB, UF 1		4-362201
		LUIS VIALE 3029		4-370426
		Lavalle 951, planta baja, subsuelo, entre piso y 1° piso		
		AV. Cnel. Díaz Nº 1502 SS., PB. y PA,.		4-273947
		Carlos Pellegrini 1083		4-361835
		Bueras Nº 149 PB/1º A 3º PISO/AZOTEA		4-361015,4-361300
		Nazarre Nº 3135		4-349512
		PTE. Luis Saenz Peña N° 1611, PB		4-361254
		Av. Pueyrredón N° 1261, Sótano y Planta Baja, U.F N° 1,.		4-349917
		Bartolomé Mitre N° 2737, 1° Piso (Local 2),.		4-362343,4-362342
		Bartolomé Mitre 2737, planta alta, local 40		4-370552,4-370551
		Gallo N° 1570 PB. y PA,.		4-274735
		Av. Córdoba N° 6024-26 PB, EP, 1°, 2°, 3° y 4°,.		4-349238,4-349239,4-348196
		Av. San Martin N° 4685 PB, PA.,		
		El Salvador N° 4564 PB, UF 1,.		4-370526
		Av. independencia N° 802		4-349837
		Espinosa N° 35,.		4-360348
		AV. Alte. Brown Nº 190 PB		4-335737
		Av. Varela N° 1257 PB, UF 2,.		4-361764,4-361763
		Mario Bravo N° 610		4-362631
		Lavalle N° 888 PB		4-348036
		FELIPE VALLESE 3740		4-361984,4-361983
		AV. Avellaneda Nº 2771 2º PISO		4-370081
		Paraná 1026		4-349918
		Av. Juramento N° 2360 y Vuelta de Obligado N° 2092, PB-PA y sotano		4-370301
		Av. San Martín N° 5901 PB y PA		4-349715
		Paéz N° 2561 PB., 1º piso y azotea		4-360445,4-360446,4-360448,4-360447
		Nicasio Oroño N° 1299 PB, UF 2		4-370527
		Av. Gral Iriarte N° 1923		4-323197
		República de Eslovenia N° 1883 PB,.		4-335738
		Costa Rica N° 5673 PB y 1° piso,.		4-348880
		Juan. B. Justo N° 1463 PB y EP		4-321035
		Av. Juan. B. Alberdi N° 2837 PB		4-321022
		Fitz Roy N° 1626		4-199807
		Araoz N° 1630		4-349714,4-349713
		Baez N° 365		4-349762
		Avellaneda Nº 1240		4-321556
		Av. Cabildo N° 3241, PB y PA		4-370282
		Piedras N° 1040.,		4-360386
		Av. Cabildo N° 4653, PB y PA,.		4-370280
		Escalada N° 1109		4-370279
		Rivadavia N° 7379 PB		4-321023
		Av. Honorio Pueyrredón 485/499 y Juan F. Aranguren 630,.		4-370278,4-347250
		Gral Freire, Ramón 3702 PB, UF 2.,		4-370528,4-370529
		México N° 2502 PB.,		4-370130
		Dr. Pedro Ignacio Rivera 5158		4-347964,4-347965
		Caracas N° 2141/49/57/59 PB/EP/1°/2° Piso		4-361856
		AV. Rivadavia Nº 2486 SOTANO/PB/1º PISO		4-168874,4-168875
		Jorge Newbery N° 3001, PB y Zapiola N° 402		4-349920
		Santiago del Estero 1432 PB y 1° piso,.		4-313116
		Gómez de Fonseca N° 236 PB., EP. s/PB., 1º piso y azotea		4-360449,4-362181,4-360450
		Cortina N° 448, PB,.		4-361808
		Montevideo N° 306 PB		4-370182
		Cerrito N° 1058		4-360387
		Ugarteche Nº 3306 PB. –unidad funcional N° 1-.,		4-335439,4-335440,4-347531,4-347530
		Olaya N° 1617/19 PB		4-362933,4-360113
		Sarmiento 1614/16, planta baja		4-362118
		Jorge Luis Borges 2395 PB, Sot UF 1 /Guemes 440		4-370531
		Jean Jaures N° 584, PB y Sótano		4-362349,4-362350
		México 2575, planta baja, 1° a 3,.		4-370752,4-370753,4-370754,4-370755,4-370505
		Darregueyra N° 2197 -Paraguay N° 4694- PB		4-349313
		Borges Jorge Luis 2107 Esq. Guatemala 4799		4-370532
		Pasco N° 333 PB., 1°, 2° piso y azotea		4-348330,4-348327,4-348328,4-348329
		Maipú N° 470,.		4-361690,4-361689
		Av. Independencia 402		4-323795
		Av. Larrazábal N° 1453/55 PB		4-361912
		José Ignacio Rucci Nº 3727/51 PB/EP LOCAL 6 FONDO		4-362760
		Saladillo Nº 2060/96,.		4-362459,4-348941
		Junín N° 1787, PB, 1°, 2° y 3° Piso,.		4-323095
		Rosario Nº 448 PB		4-370533
		Suárez 269		4-361988,4-370877
		Cajaravilla N° 4298 (esq. Av. Olivera 302) PB y Sótano, UF 1		4-347464
		José Evaristo Uriburu N° 576 PB		4-361312
		Av. Costanera Rafael Obligado N° 6350 PB		4-274737
		Juana Manso N° 1101/09 PB		4-370254
		French N° 2826 PB., 1° y 2° piso,.		4-370456,4-370454,4-370455,4-370452,4-370453
		Av. Eva Perón 3719 PB		4-361770
		Formosa N° 229 PB, UF 1.,		4-362202,4-362203
		Julián Álvarez N° 1762, PB y 1° Piso.,		
		AV. Del Libertador Nº 174 SOTANO/PB/1º Y 2º PISO/AZOTEA.,		
		Zabala N° 2535 PB.,		
		Brasil Nº 1332/34 PB. y PA		4-361297,4-361296
		Chacabuco N° 962, SS, PB, EP, 1° y 2° piso		4-361667
		Camarones N° 1629, 1° Piso		4-348861,4-348862
		Adolfo Alsina N° 3.081 P.B., EP., 1er piso y azotea		4-361659
		Brandsen N° 805		
		Av. Corrientes N° 2323, PB y PA,.		4-287523
		AV. Corrientes N° 2434, piso 8°, unidad funcional N° 32.,		4-362845,4-362844
		AV. Corrientes N° 2434, piso 9°, unidad funcional N° 37.,		4-371179,4-371178
		Av. Avellaneda 1116 PB		4-370537
		Av. Corrientes 2434, 1° piso, unidad funcional 3.,		4-348471
		Av. Corrientes 2434, 8° piso, unidad funcional 33		4-371177,4-371176
		Av. Corrientes 2434, 3° piso, unidad funcional 12.,		4-370926
		Av. Corrientes N° 2434 8° piso UF 31.,		4-362843,4-362842
		Av. Corrientes 2434, 9° piso, unidad funcional 35,.		4-371180,4-371181
		Av. Corrientes N° 2434, piso 6°, unidad funcional N° 25		4-362015,4-362014,4-362013
		AV. Corrientes N° 2434, piso 8°, unidad funcional N° 30.,		4-362323,4-362324,4-362325
		Av. Corrientes 2434, 12° piso, unidad funcional 48.,		4-362413
		Av. Avellaneda N° 1789 PB		4-370534
		Gregorio Aráoz de Lamadrid 1920/30/48/88, planta baja y 1° piso, unidad F-2		4-361233
		AV. Díaz Vélez N° 5499		4-360389
		Luzuriaga N° 598 PB		4-361857,4-362765
		Av. Corrientes 2434, 5° piso, unidad funcional 20		4-370927
		Av. Corrientes 2434 piso 11 UF 42		4-362238
		Av. Corrientes 2434 piso 11 UF 44,		4-362120
		Av. Corrientes N° 2434, 12° piso, Dto. 46		4-362414
		Av. Corrientes N° 2434, 10° Piso (UF 39),.		4-362239
		Serrano N° 1438/44 PB.,		4-335861
		Av. Corrientes 3372, Planta Baja, Entre Piso, 1° a 3° piso y subsuelo		4-370086,4-361629
		FRANCISCO BEIRO 3035/39/41/49/53/63/71, planta baja y entre		4-362709
		Av. Independencia N° 1789, PB		4-348040
		Iberá N° 4896		4-335694
		Av. Francisco Bilbao N° 3770		4-349764
		Montevideo N° 361, PB.,		4-361184
		Ecuador N° 996, PB.,		4-321350
		Balcarce N° 749, PB y EP.,		4-370290
		Rivadavia N° 10995 PB y EP		4-321025
		Gurruchaga N° 1324 PB		4-349815
		Av. Elcano N° 3640		4-335695
		AV. San Juan Nº 3202, PB y Sótano, UF 2.,		4-362204
		Av. Jujuy N° 1362 PB UF 3		4-362205
		Av. San Juan 2760 St, PB, EP UF 1		4-370538
		Guemes N° 3024, PB		4-335739
		Francisco de Viedma N° 6863 PB,.		4-361318,4-361317,4-361315
		Gurruchaga 2207		4-323097
		Carhué N° 102 PB., EP. y 1° piso		4-361391,4-361390
		Av. La Fuente N° 1353 PB, EP		4-370881,4-370880
		Juramento Nº 5505 (Esq. Barzana Nº 2002		4-361774,4-361773
		Castro Barros 553, planta baja, entre piso y 1° piso		4-349594
		AV. Rivadavia Nº 10601 PB		4-361793
		AV. Corrientes N° 4139 PB,.		4-370508,4-333100,4-370510,4-370511,4-370509
		Iberá N° 2546 PB,.		4-349924
