"NOMBRE","TIPO","DIRECCION","CLAUSURADO","ACTA","origin","DIRECCION.CLEAN","regexp","calle","numero"
NA,NA,"Humberto 1° N° 1901 PB y SS",NA,"4-347519","D1","humberto 1 1901 pb y ss","^([a-z ]*)([0-9]+)","humberto  1901 pb y ss","1 1901 pb y ss"
NA,NA,"Araujo Nº 2049,.",NA,"4-348609,4-348608,4-347646,4-348611,4-348610","D1","araujo no 2049","^([a-z ]*)([0-9]+)","araujo no","2049"
NA,NA,"Cuenca Nº 3515 PB,.",NA,"4-349304","D1","cuenca no 3515 pb","^([a-z ]*)([0-9]+)","cuenca no  pb","3515 pb"
NA,NA,"Valentín Gómez N° 3304 PB",NA,"4-347521","D1","valentin gomez 3304 pb","^([a-z ]*)([0-9]+)","valentin gomez  pb","3304 pb"
NA,NA,"Gorriti 3780",NA,"4-016067","D1","gorriti 3780","^([a-z ]*)([0-9]+)","gorriti","3780"
NA,NA,"Suarez N° 925 y Brandsen N° 930,.",NA,"4-322028","D1","suarez 925 y brandsen 930","^([a-z ]*)([0-9]+)","suarez  y brandsen 930","925 y brandsen 930"
NA,NA,"Juan Domingo Perón N° 1829",NA,"4-321671","D1","juan domingo peron 1829","^([a-z ]*)([0-9]+)","juan domingo peron","1829"
NA,NA,"Av. Juan Bautista Alberdi N° 4395/99 PB y PA",NA,"4-334033","D1","av juan bautista alberdi 4395/99 pb y pa","^([a-z ]*)([0-9]+)","av juan bautista alberdi /99 pb y pa","4395/99 pb y pa"
NA,NA,"Virrey Cevallos N° 840",NA,"4-347518","D1","virrey cevallos 840","^([a-z ]*)([0-9]+)","virrey cevallos","840"
NA,NA,"Costa Rica N° 5448 PB y PA,.",NA,"4-335688","D1","costa rica 5448 pb y pa","^([a-z ]*)([0-9]+)","costa rica  pb y pa","5448 pb y pa"
NA,NA,"Av. Emilio Castro N° 6463",NA,"4-335730","D1","av emilio castro 6463","^([a-z ]*)([0-9]+)","av emilio castro","6463"
NA,NA,"Avda. Mendoza 5100, planta baja y entre piso",NA,"4-349576","D1","avda mendoza 5100 planta baja y entre piso","^([a-z ]*)([0-9]+)","avda mendoza  planta baja y entre piso","5100 planta baja y entre piso"
NA,NA,"Av. Congreso N° 2114 PB",NA,"4-273063,4-273064","D1","av congreso 2114 pb","^([a-z ]*)([0-9]+)","av congreso  pb","2114 pb"
NA,NA,"Irala N° 853 PB",NA,"4-321703,4-321228","D1","irala 853 pb","^([a-z ]*)([0-9]+)","irala  pb","853 pb"
NA,NA,"Av. Rivadavia 4262 PB",NA,"4-348450","D1","av rivadavia 4262 pb","^([a-z ]*)([0-9]+)","av rivadavia  pb","4262 pb"
NA,NA,"República Bolivariana de Venezuela 2763/65, planta baja, 1°, 2° piso-TERRAZA",NA,"4-349955,4-349956,4-360452","D1","republica bolivariana de venezuela 2763/65 planta baja 1 2 piso-terraza","^([a-z ]*)([0-9]+)","republica bolivariana de venezuela /65 planta baja 1 2 piso-terraza","2763/65 planta baja 1 2 piso-terraza"
NA,NA,"Cerrito N° 28, PB",NA,"4-301175","D1","cerrito 28 pb","^([a-z ]*)([0-9]+)","cerrito  pb","28 pb"
NA,NA,"Bolívar N° 860",NA,"4-334394","D1","bolivar 860","^([a-z ]*)([0-9]+)","bolivar","860"
NA,NA,"Cnel. Niceto Vega N° 4959 PB",NA,"4-347235","D1","cnel niceto vega 4959 pb","^([a-z ]*)([0-9]+)","cnel niceto vega  pb","4959 pb"
NA,NA,"Portela N° 1207",NA,"4-334032","D1","portela 1207","^([a-z ]*)([0-9]+)","portela","1207"
NA,NA,"Uriburu N° 1018 PB y SS",NA,"4-347520","D1","uriburu 1018 pb y ss","^([a-z ]*)([0-9]+)","uriburu  pb y ss","1018 pb y ss"
NA,NA,"Av. Rivadavia N° 10412",NA,"4-349754","D1","av rivadavia 10412","^([a-z ]*)([0-9]+)","av rivadavia","10412"
NA,NA,"Olleros N° 4158",NA,"4-349255","D1","olleros 4158","^([a-z ]*)([0-9]+)","olleros","4158"
NA,NA,"Lavalle N° 2641 3° piso UF 302.,",NA,"4-349880","D1","lavalle 2641 3 piso uf 302","^([a-z ]*)([0-9]+)","lavalle  3 piso uf 302","2641 3 piso uf 302"
NA,NA,"Av. Santa Fé N° 2516",NA,"4-267825","D1","av santa fe 2516","^([a-z ]*)([0-9]+)","av santa fe","2516"
NA,NA,"AV. Corrientes Nº 6092 PB UF 14.,",NA,"4-348841","D1","av corrientes no 6092 pb uf 14","^([a-z ]*)([0-9]+)","av corrientes no  pb uf 14","6092 pb uf 14"
NA,NA,"peron 2930",NA,"","D1","peron 2930","^([a-z ]*)([0-9]+)","peron","2930"
NA,NA,"Quilmes Nº 426/36 PB/EPs/1º PISO",NA,"4-348245,4-348246,4-348247,4-348651,4-348652/4-349859","D1","quilmes no 426/36 pb/eps/1o piso","^([a-z ]*)([0-9]+)","quilmes no /36 pb/eps/1o piso","426/36 pb/eps/1o piso"
NA,NA,"BRANDSEN 1017/23/25",NA,"4-347814","D1","brandsen 1017/23/25","^([a-z ]*)([0-9]+)","brandsen /23/25","1017/23/25"
NA,NA,"Republica de Eslovenia N° 1894 PB, UF 1.,",NA,"4-349257","D1","republica de eslovenia 1894 pb uf 1","^([a-z ]*)([0-9]+)","republica de eslovenia  pb uf 1","1894 pb uf 1"
NA,NA,"Suarez N° 1117/23 PB, 1° y 2° piso",NA,"4-348118","D1","suarez 1117/23 pb 1 y 2 piso","^([a-z ]*)([0-9]+)","suarez /23 pb 1 y 2 piso","1117/23 pb 1 y 2 piso"
NA,NA,"Av. Triunvirato N° 3975 PB",NA,"4-348964","D1","av triunvirato 3975 pb","^([a-z ]*)([0-9]+)","av triunvirato  pb","3975 pb"
NA,NA,"Andrés Lamas 1538/42, planta baja y entre pisos",NA,"4-333143,4-4-333142","D1","andres lamas 1538/42 planta baja y entre pisos","^([a-z ]*)([0-9]+)","andres lamas /42 planta baja y entre pisos","1538/42 planta baja y entre pisos"
NA,NA,"Paraguay N° 501, PB. y SS.,",NA,"4-347080","D1","paraguay 501 pb y ss","^([a-z ]*)([0-9]+)","paraguay  pb y ss","501 pb y ss"
NA,NA,"Concordia Nº 74 PB",NA,"4-349007,4-349008,4-349009","D1","concordia no 74 pb","^([a-z ]*)([0-9]+)","concordia no  pb","74 pb"
NA,NA,"Esquiú N° 1227 PB-1° Piso.,",NA,"4-322475","D1","esquiu 1227 pb-1 piso","^([a-z ]*)([0-9]+)","esquiu  pb-1 piso","1227 pb-1 piso"
NA,NA,"AV. Warnes N° 1642 PB. y EP",NA,"4-347597; 4-347596;4-347595","D1","av warnes 1642 pb y ep","^([a-z ]*)([0-9]+)","av warnes  pb y ep","1642 pb y ep"
NA,NA,"Blanco Encalada Nº 4739/45, PB y 1º",NA,"4-347143; 4-347144","D1","blanco encalada no 4739/45 pb y 1o","^([a-z ]*)([0-9]+)","blanco encalada no /45 pb y 1o","4739/45 pb y 1o"
NA,NA,"Jorge Luis Borges N° 1872 PB, 1° piso",NA,"4-360301","D1","jorge luis borges 1872 pb 1 piso","^([a-z ]*)([0-9]+)","jorge luis borges  pb 1 piso","1872 pb 1 piso"
NA,NA,"Felipe Vallese N° 3740 PB",NA,"4-348457;4-348986","D1","felipe vallese 3740 pb","^([a-z ]*)([0-9]+)","felipe vallese  pb","3740 pb"
NA,NA,"José León Suárez 166, planta baja, sector medio habitación 9 y 14 –",NA,"4-347817","D1","jose leon suarez 166 planta baja sector medio habitacion 9 y 14 -","^([a-z ]*)([0-9]+)","jose leon suarez  planta baja sector medio habitacion 9 y 14 -","166 planta baja sector medio habitacion 9 y 14 -"
NA,NA,"José León Suárez 166, planta baja, sector frente habitación 1",NA,"4-347818","D1","jose leon suarez 166 planta baja sector frente habitacion 1","^([a-z ]*)([0-9]+)","jose leon suarez  planta baja sector frente habitacion 1","166 planta baja sector frente habitacion 1"
NA,NA,"José León Suárez 166, planta baja, última habitación lado derecho",NA,"4-347816","D1","jose leon suarez 166 planta baja ultima habitacion lado derecho","^([a-z ]*)([0-9]+)","jose leon suarez  planta baja ultima habitacion lado derecho","166 planta baja ultima habitacion lado derecho"
NA,NA,"José E. Rodó N° 6530/6532 PB/PA",NA,"4-347570;4-347569","D1","jose e rodo 6530/6532 pb/pa","^([a-z ]*)([0-9]+)","jose e rodo /6532 pb/pa","6530/6532 pb/pa"
NA,NA,"José León Suárez 166, planta baja, local frente, cocina, N° 3",NA,"4-360877;4-360878","D1","jose leon suarez 166 planta baja local frente cocina 3","^([a-z ]*)([0-9]+)","jose leon suarez  planta baja local frente cocina 3","166 planta baja local frente cocina 3"
NA,NA,"Darwin 216, planta baja y planta alta",NA,"4-334593","D1","darwin 216 planta baja y planta alta","^([a-z ]*)([0-9]+)","darwin  planta baja y planta alta","216 planta baja y planta alta"
NA,NA,"Juan A. García Nº 4741 PB/1º Y 2º PISO.,",NA,"4-347360;4-347358;4-347359;4-347361","D1","juan a garcia no 4741 pb/1o y 2o piso","^([a-z ]*)([0-9]+)","juan a garcia no  pb/1o y 2o piso","4741 pb/1o y 2o piso"
NA,NA,"José León Suarez Nº 166 PB Izquierda frente, Local 18",NA,"4-360879","D1","jose leon suarez no 166 pb izquierda frente local 18","^([a-z ]*)([0-9]+)","jose leon suarez no  pb izquierda frente local 18","166 pb izquierda frente local 18"
NA,NA,"Uriarte N° 1005, PB.,",NA,"4-349258","D1","uriarte 1005 pb","^([a-z ]*)([0-9]+)","uriarte  pb","1005 pb"
NA,NA,"Rivadavia  B, N° 1 y N° 2, casa N° 538, PB. y PA,.",NA,"4-333774","D1","rivadavia b 1 y 2 casa 538 pb y pa","^([a-z ]*)([0-9]+)","rivadavia b  y 2 casa 538 pb y pa","1 y 2 casa 538 pb y pa"
NA,NA,"Av. Elcano N° 4030 PB,.",NA,"4-48799","D1","av elcano 4030 pb","^([a-z ]*)([0-9]+)","av elcano  pb","4030 pb"
NA,NA,"Av. Independencia N° 1702",NA,"4-288786","D1","av independencia 1702","^([a-z ]*)([0-9]+)","av independencia","1702"
NA,NA,"José León Suarez Nº 166 PB HABITACION 15 CENTRO",NA,"4-360876","D1","jose leon suarez no 166 pb habitacion 15 centro","^([a-z ]*)([0-9]+)","jose leon suarez no  pb habitacion 15 centro","166 pb habitacion 15 centro"
NA,NA,"Loyola N° 223/29, PB, Azotea, UF 2,.",NA,"4-335946","D1","loyola 223/29 pb azotea uf 2","^([a-z ]*)([0-9]+)","loyola /29 pb azotea uf 2","223/29 pb azotea uf 2"
NA,NA,"Bulnes N° 331,.",NA,"4-335853","D1","bulnes 331","^([a-z ]*)([0-9]+)","bulnes","331"
NA,NA,"Calderón De La Barca N° 2150 PB",NA,"4-349033","D1","calderon de la barca 2150 pb","^([a-z ]*)([0-9]+)","calderon de la barca  pb","2150 pb"
NA,NA,"Echeandia Nº 2847/49 PB",NA,"4-349384; 4-349530","D1","echeandia no 2847/49 pb","^([a-z ]*)([0-9]+)","echeandia no /49 pb","2847/49 pb"
NA,NA,"BACACAY 3445, planta baja, 1° y 2° piso",NA,"4-349016; 4-349017","D1","bacacay 3445 planta baja 1 y 2 piso","^([a-z ]*)([0-9]+)","bacacay  planta baja 1 y 2 piso","3445 planta baja 1 y 2 piso"
NA,NA,"Av. Lacarra Nº 1116 PB/Terraza",NA,"4-349382; 4-349383; 4-349529","D1","av lacarra no 1116 pb/terraza","^([a-z ]*)([0-9]+)","av lacarra no  pb/terraza","1116 pb/terraza"
NA,NA,"Rafael Obligado N° 2222 ",NA,"4-348660","D1","rafael obligado 2222","^([a-z ]*)([0-9]+)","rafael obligado","2222"
NA,NA,"Rio de Janeiro N° 538 PB y EP, UF 1.,",NA,"4-334968","D1","rio de janeiro 538 pb y ep uf 1","^([a-z ]*)([0-9]+)","rio de janeiro  pb y ep uf 1","538 pb y ep uf 1"
NA,NA,"Vera N° 652 PB, UF 2,.",NA,"4-288787","D1","vera 652 pb uf 2","^([a-z ]*)([0-9]+)","vera  pb uf 2","652 pb uf 2"
NA,NA,"Av. Córdoba N° 6069 PB, 1° y 2° Piso",NA,"4-335948","D1","av cordoba 6069 pb 1 y 2 piso","^([a-z ]*)([0-9]+)","av cordoba  pb 1 y 2 piso","6069 pb 1 y 2 piso"
NA,NA,"Echeverría N° 2490, Departamento “A” Sótano y PB, UF 1.,",NA,"4-347057","D1","echeverria 2490 departamento ""a"" sotano y pb uf 1","^([a-z ]*)([0-9]+)","echeverria  departamento ""a"" sotano y pb uf 1","2490 departamento ""a"" sotano y pb uf 1"
NA,NA,"AV. Corrientes Nº 6075/77 PB.,",NA,"4-335947","D1","av corrientes no 6075/77 pb","^([a-z ]*)([0-9]+)","av corrientes no /77 pb","6075/77 pb"
NA,NA,"Chacabuco N° 738/40 PB., 1° piso y EPS",NA,"4-333599; 4-347997; 4-333600; 4-347998","D1","chacabuco 738/40 pb 1 piso y eps","^([a-z ]*)([0-9]+)","chacabuco /40 pb 1 piso y eps","738/40 pb 1 piso y eps"
NA,NA,"Monroe Nº 2686 PB",NA,"4-348844","D1","monroe no 2686 pb","^([a-z ]*)([0-9]+)","monroe no  pb","2686 pb"
NA,NA,"Rafael Obligado N° 2222 ",NA,"4-348031","D1","rafael obligado 2222","^([a-z ]*)([0-9]+)","rafael obligado","2222"
NA,NA,"Cnel. Niceto Vega N° 5189/91",NA,"4-360377","D1","cnel niceto vega 5189/91","^([a-z ]*)([0-9]+)","cnel niceto vega /91","5189/91"
NA,NA,"Villa 1-11-14 CASA 63 MANZANA 23 PB a 4º PISO PUERTA-12",NA,"4-349159; 4-348642; 4-348641","D1","villa 1-11-14 casa 63 manzana 23 pb a 4o piso puerta-12","^([a-z ]*)([0-9]+)","villa -11-14 casa 63 manzana 23 pb a 4o piso puerta-12","1-11-14 casa 63 manzana 23 pb a 4o piso puerta-12"
NA,NA,"Villa 1-11-14 CASA 113 MANZANA 18 PB/1º Y 2º PISO",NA,"4-347864; 4-360203; 4-360204","D1","villa 1-11-14 casa 113 manzana 18 pb/1o y 2o piso","^([a-z ]*)([0-9]+)","villa -11-14 casa 113 manzana 18 pb/1o y 2o piso","1-11-14 casa 113 manzana 18 pb/1o y 2o piso"
NA,NA,"Paraná N° 1048, PB, 1°, 2° y 3° piso",NA,"4-348008","D1","parana 1048 pb 1 2 y 3 piso","^([a-z ]*)([0-9]+)","parana  pb 1 2 y 3 piso","1048 pb 1 2 y 3 piso"
NA,NA,"Vidal N° 1838, PB",NA,"4-348032","D1","vidal 1838 pb","^([a-z ]*)([0-9]+)","vidal  pb","1838 pb"
NA,NA,"Perú N° 895 PB y SS",NA,"4-335702","D1","peru 895 pb y ss","^([a-z ]*)([0-9]+)","peru  pb y ss","895 pb y ss"
NA,NA,"José A. Cabrera N° 4946 PB. y EP",NA,"4-334062","D1","jose a cabrera 4946 pb y ep","^([a-z ]*)([0-9]+)","jose a cabrera  pb y ep","4946 pb y ep"
NA,NA,"Cnel. Niceto Vega N° 5629/35 PB,.",NA,"4-321672","D1","cnel niceto vega 5629/35 pb","^([a-z ]*)([0-9]+)","cnel niceto vega /35 pb","5629/35 pb"
NA,NA,"Gascón N° 1209, PB,.",NA,"4-323286","D1","gascon 1209 pb","^([a-z ]*)([0-9]+)","gascon  pb","1209 pb"
NA,NA,"Roque Pérez N° 4801, PB y SS- esquina Pico N° 3599",NA,"4-334041","D1","roque perez 4801 pb y ss- esquina pico 3599","^([a-z ]*)([0-9]+)","roque perez  pb y ss- esquina pico 3599","4801 pb y ss- esquina pico 3599"
NA,NA,"Viamonte N° 901, esq. Suipacha 708, PB y Sótano, UF N° 2",NA,"4-288792","D1","viamonte 901 esq suipacha 708 pb y sotano uf 2","^([a-z ]*)([0-9]+)","viamonte  esq suipacha 708 pb y sotano uf 2","901 esq suipacha 708 pb y sotano uf 2"
NA,NA,"Agrelo N° 3611 PB",NA,"4-348846; 4-348845","D1","agrelo 3611 pb","^([a-z ]*)([0-9]+)","agrelo  pb","3611 pb"
NA,NA,"Thames N° 1402,.",NA,"4-360701","D1","thames 1402","^([a-z ]*)([0-9]+)","thames","1402"
NA,NA,"Guamini N° 4794, PB,.",NA,"4-349681","D1","guamini 4794 pb","^([a-z ]*)([0-9]+)","guamini  pb","4794 pb"
NA,NA,"Av. Santa Fe N° 4838 PB",NA,"4-273943","D1","av santa fe 4838 pb","^([a-z ]*)([0-9]+)","av santa fe  pb","4838 pb"
NA,NA,"Álvarez Thomas N°487 PB",NA,"4-315248","D1","alvarez thomas 487 pb","^([a-z ]*)([0-9]+)","alvarez thomas  pb","487 pb"
NA,NA,"Asentamiento Precario 1.11.14, Manzana 21, casa 76, puerta 1, s/n",NA,"4-360853; 4-360407","D1","asentamiento precario 11114 manzana 21 casa 76 puerta 1 s/n","^([a-z ]*)([0-9]+)","asentamiento precario  manzana 21 casa 76 puerta 1 s/n","11114 manzana 21 casa 76 puerta 1 s/n"
NA,NA,"Asentamiento precario 1-11-14, manzana Nº 19, casa Nº 38,",NA,"4-348645; 4-349162","D1","asentamiento precario 1-11-14 manzana no 19 casa no 38","^([a-z ]*)([0-9]+)","asentamiento precario -11-14 manzana no 19 casa no 38","1-11-14 manzana no 19 casa no 38"
NA,NA,"Asentamiento Precario 1.11.14, Manzana 21, casa 76, 3° piso , puertas-8-10",NA,"4-360408; 4-360854","D1","asentamiento precario 11114 manzana 21 casa 76 3 piso puertas-8-10","^([a-z ]*)([0-9]+)","asentamiento precario  manzana 21 casa 76 3 piso puertas-8-10","11114 manzana 21 casa 76 3 piso puertas-8-10"
NA,NA,"Villa 1-11-14 manzana 21, casa 76, puerta 12, 2º Piso",NA,"4-348644; 4-349161","D1","villa 1-11-14 manzana 21 casa 76 puerta 12 2o piso","^([a-z ]*)([0-9]+)","villa -11-14 manzana 21 casa 76 puerta 12 2o piso","1-11-14 manzana 21 casa 76 puerta 12 2o piso"
NA,NA,"Villa 1-11-14 CASA 113 “A” MANZANA 18 PB/PA.,",NA,"4-347362; 4-347364; 4-347363; 4-347196","D1","villa 1-11-14 casa 113 ""a"" manzana 18 pb/pa","^([a-z ]*)([0-9]+)","villa -11-14 casa 113 ""a"" manzana 18 pb/pa","1-11-14 casa 113 ""a"" manzana 18 pb/pa"
NA,NA,"Cnel. Niceto Vega N° 5646 PB y 1°,.",NA,"4-303675","D1","cnel niceto vega 5646 pb y 1","^([a-z ]*)([0-9]+)","cnel niceto vega  pb y 1","5646 pb y 1"
NA,NA,"Humboldt N° 1585/87 PB y PA",NA,"4-349757; 4-349756","D1","humboldt 1585/87 pb y pa","^([a-z ]*)([0-9]+)","humboldt /87 pb y pa","1585/87 pb y pa"
NA,NA,"Tarija 3368, planta baja, sótano, entre pisos, 1°, 2º, 3º y azotea.,",NA,"4-334416; 4-334417; 4-334418; 4-334415; 4-334419","D1","tarija 3368 planta baja sotano entre pisos 1 2o 3o y azotea","^([a-z ]*)([0-9]+)","tarija  planta baja sotano entre pisos 1 2o 3o y azotea","3368 planta baja sotano entre pisos 1 2o 3o y azotea"
NA,NA,"Av. Santa Fe 4549/55, planta baja, 1° y 2° piso",NA,"4-361001","D1","av santa fe 4549/55 planta baja 1 y 2 piso","^([a-z ]*)([0-9]+)","av santa fe /55 planta baja 1 y 2 piso","4549/55 planta baja 1 y 2 piso"
NA,NA,"Carlos Morel N° 4121 PB, Dpto. “1”.,",NA,"4-360929; 4-360928","D1","carlos morel 4121 pb dpto ""1""","^([a-z ]*)([0-9]+)","carlos morel  pb dpto ""1""","4121 pb dpto ""1"""
NA,NA,"Pilar N° 1981/83 P.B. y P.A.,",NA,"4-323220; 4-323219; 4-349386","D1","pilar 1981/83 pb y pa","^([a-z ]*)([0-9]+)","pilar /83 pb y pa","1981/83 pb y pa"
NA,NA,"Villa 1-11-14 manzana 21, casa 76, dto. 2.,",NA,"4-348663; 4-349533","D1","villa 1-11-14 manzana 21 casa 76 dto 2","^([a-z ]*)([0-9]+)","villa -11-14 manzana 21 casa 76 dto 2","1-11-14 manzana 21 casa 76 dto 2"
NA,NA,"Asentamiento 1-11-14 Manzana 23, casa 62",NA,"4-349531; 4-348661","D1","asentamiento 1-11-14 manzana 23 casa 62","^([a-z ]*)([0-9]+)","asentamiento -11-14 manzana 23 casa 62","1-11-14 manzana 23 casa 62"
NA,NA,"Villa 1-11-14 CASA 116 MANZANA 18 3º PISO",NA,"4-347365","D1","villa 1-11-14 casa 116 manzana 18 3o piso","^([a-z ]*)([0-9]+)","villa -11-14 casa 116 manzana 18 3o piso","1-11-14 casa 116 manzana 18 3o piso"
NA,NA,"Asentamiento precario 1-11-14, manzana Nº 21, casa Nº 107, PB.,",NA,"4-348643; 4-349160","D1","asentamiento precario 1-11-14 manzana no 21 casa no 107 pb","^([a-z ]*)([0-9]+)","asentamiento precario -11-14 manzana no 21 casa no 107 pb","1-11-14 manzana no 21 casa no 107 pb"
NA,NA,"Carlos Morel N° 4121 PB/ UF N° 2 (Fondo).,",NA,"4-349089; 4-349088","D1","carlos morel 4121 pb/ uf 2 (fondo)","^([a-z ]*)([0-9]+)","carlos morel  pb/ uf 2 (fondo)","4121 pb/ uf 2 (fondo)"
NA,NA,"Asentamiento Precario 1.11.14, MZ. 21, casa 1 –PB",NA,"4-349532;4-348662","D1","asentamiento precario 11114 mz 21 casa 1 -pb","^([a-z ]*)([0-9]+)","asentamiento precario  mz 21 casa 1 -pb","11114 mz 21 casa 1 -pb"
NA,NA,"Asentamiento precario 1-11-14, manzana Nº 23, casa Nº 49",NA,"4-360406; 4-360852","D1","asentamiento precario 1-11-14 manzana no 23 casa no 49","^([a-z ]*)([0-9]+)","asentamiento precario -11-14 manzana no 23 casa no 49","1-11-14 manzana no 23 casa no 49"
NA,NA,"Andrés Ferreyra N° 4032 PB, EP.,",NA,"4-347147; 4-347146;4-3471478;4-347149","D1","andres ferreyra 4032 pb ep","^([a-z ]*)([0-9]+)","andres ferreyra  pb ep","4032 pb ep"
NA,NA,"Carlos Pellegrini 189, planta baja, entre piso y sótano",NA,"4-288791;4-288790","D1","carlos pellegrini 189 planta baja entre piso y sotano","^([a-z ]*)([0-9]+)","carlos pellegrini  planta baja entre piso y sotano","189 planta baja entre piso y sotano"
NA,NA,"Viamonte 977, planta baja",NA,"4-288794; 4-288793","D1","viamonte 977 planta baja","^([a-z ]*)([0-9]+)","viamonte  planta baja","977 planta baja"
NA,NA,"VIAMONTE 948, planta baja y planta alta",NA,"4-349259","D1","viamonte 948 planta baja y planta alta","^([a-z ]*)([0-9]+)","viamonte  planta baja y planta alta","948 planta baja y planta alta"
NA,NA,"Murguiondo Nº 2338/40/42 PB/1º Y 2º PISO",NA,"4-349861; 4-349860; 4-347618","D1","murguiondo no 2338/40/42 pb/1o y 2o piso","^([a-z ]*)([0-9]+)","murguiondo no /40/42 pb/1o y 2o piso","2338/40/42 pb/1o y 2o piso"
NA,NA,"Teniente General Juan Domingo Perón 1428, planta baja.,",NA,"4-335949","D1","teniente general juan domingo peron 1428 planta baja","^([a-z ]*)([0-9]+)","teniente general juan domingo peron  planta baja","1428 planta baja"
NA,NA,"Uruguay Nº 195/99, PB, EP y Sótano",NA,"4-322172","D1","uruguay no 195/99 pb ep y sotano","^([a-z ]*)([0-9]+)","uruguay no /99 pb ep y sotano","195/99 pb ep y sotano"
NA,NA,"Soler N° 5581 PB y PA",NA,"4-348012","D1","soler 5581 pb y pa","^([a-z ]*)([0-9]+)","soler  pb y pa","5581 pb y pa"
NA,NA,"Primera Junta N° 3438/40 PB., PA. y EP.,",NA,"4-349090; 4-348646","D1","primera junta 3438/40 pb pa y ep","^([a-z ]*)([0-9]+)","primera junta /40 pb pa y ep","3438/40 pb pa y ep"
NA,NA,"Virrey del Pino Nº 2598, PB y PA, UF 6",NA,"4-348848","D1","virrey del pino no 2598 pb y pa uf 6","^([a-z ]*)([0-9]+)","virrey del pino no  pb y pa uf 6","2598 pb y pa uf 6"
NA,NA,"Lavalle 951, planta baja, subsuelo, entre piso y 1° piso",NA,"4-349022","D1","lavalle 951 planta baja subsuelo entre piso y 1 piso","^([a-z ]*)([0-9]+)","lavalle  planta baja subsuelo entre piso y 1 piso","951 planta baja subsuelo entre piso y 1 piso"
NA,NA,"DR. Enrique Finochietto N° 1244 PB., 1°, 2°, 3° piso y azotea",NA,"4-361276; 4-349291; 4-348000; 4-349290","D1","dr enrique finochietto 1244 pb 1 2 3 piso y azotea","^([a-z ]*)([0-9]+)","dr enrique finochietto  pb 1 2 3 piso y azotea","1244 pb 1 2 3 piso y azotea"
NA,NA,"Brandsen N° 805",NA,"","D1","brandsen 805","^([a-z ]*)([0-9]+)","brandsen","805"
NA,NA,"Santo Domingo N° 3700 (esq. Monteagudo 1500) PB manzana 10, casa-21",NA,"4-349058; 4-360931","D1","santo domingo 3700 (esq monteagudo 1500) pb manzana 10 casa-21","^([a-z ]*)([0-9]+)","santo domingo  (esq monteagudo 1500) pb manzana 10 casa-21","3700 (esq monteagudo 1500) pb manzana 10 casa-21"
NA,NA,"Capitán Gral. Ramón Freire Nº 2362/66 PB/1º Y 2º PISO",NA,"4-333112; 4-333113","D1","capitan gral ramon freire no 2362/66 pb/1o y 2o piso","^([a-z ]*)([0-9]+)","capitan gral ramon freire no /66 pb/1o y 2o piso","2362/66 pb/1o y 2o piso"
NA,NA,"Av. Santa Fe N° 5251 PB, EP, UF 1,.",NA,"4-347457","D1","av santa fe 5251 pb ep uf 1","^([a-z ]*)([0-9]+)","av santa fe  pb ep uf 1","5251 pb ep uf 1"
NA,NA,"Asentamiento 1-11-14 Manzana 21 Casa 76 1º PISO",NA,"4-348664; 4-349534/4-360424","D1","asentamiento 1-11-14 manzana 21 casa 76 1o piso","^([a-z ]*)([0-9]+)","asentamiento -11-14 manzana 21 casa 76 1o piso","1-11-14 manzana 21 casa 76 1o piso"
NA,NA,"Av. Rivadavia N° 11095 PB, EP",NA,"4-334036","D1","av rivadavia 11095 pb ep","^([a-z ]*)([0-9]+)","av rivadavia  pb ep","11095 pb ep"
NA,NA,"AV. Cabildo Nº 592 PB",NA,"4-334390/4-349758","D1","av cabildo no 592 pb","^([a-z ]*)([0-9]+)","av cabildo no  pb","592 pb"
NA,NA,"Cañada de Gómez N° 5553/77, PB y PA (y Cosquín N° 5502 y beron de astrada 6638/92",NA,"4-349388; 4-349387; 4-349389; 4-360411;4-360412","D1","canada de gomez 5553/77 pb y pa (y cosquin 5502 y beron de astrada 6638/92","^([a-z ]*)([0-9]+)","canada de gomez /77 pb y pa (y cosquin 5502 y beron de astrada 6638/92","5553/77 pb y pa (y cosquin 5502 y beron de astrada 6638/92"
NA,NA,"Fraga N° 1247, PB y Sótano",NA,"4-349901","D1","fraga 1247 pb y sotano","^([a-z ]*)([0-9]+)","fraga  pb y sotano","1247 pb y sotano"
NA,NA,"Tte. Gral. Perón N° 2660 PB, EP, Sótano",NA,"4-349118;4-349119","D1","tte gral peron 2660 pb ep sotano","^([a-z ]*)([0-9]+)","tte gral peron  pb ep sotano","2660 pb ep sotano"
NA,NA,"Marcelo T. de Alvear N° 2167, PB y EP",NA,"4-323536","D1","marcelo t de alvear 2167 pb y ep","^([a-z ]*)([0-9]+)","marcelo t de alvear  pb y ep","2167 pb y ep"
NA,NA,"Jeronimo Salguero N° 3212/3360 1° piso y EP, locales 1031/37",NA,"4-349564","D1","jeronimo salguero 3212/3360 1 piso y ep locales 1031/37","^([a-z ]*)([0-9]+)","jeronimo salguero /3360 1 piso y ep locales 1031/37","3212/3360 1 piso y ep locales 1031/37"
NA,NA,"Humboldt Nº 42/44/48/50/52 al 62 PB/1º a 4º PISO",NA,"4-349059","D1","humboldt no 42/44/48/50/52 al 62 pb/1o a 4o piso","^([a-z ]*)([0-9]+)","humboldt no /44/48/50/52 al 62 pb/1o a 4o piso","42/44/48/50/52 al 62 pb/1o a 4o piso"
